Rank,City,State,Population 2019,2010 census,Location
250,Palm Bay,Florida,"115,552","103,190",27.9856°N 80.6626°W
251,El Monte,California,"115,487","113,475",34.0746°N 118.0291°W
252,Carlsbad,California,"115,382","105,328",33.1239°N 117.2828°W
, ,South Carolina,"97,471",,32.9178°N 80.0650°W
254,Temecula,California,"114,761","100,097",33.4931°N 117.1317°W
255,Clovis,California,"114,584","95,631",36.8282°N 119.6849°W
256,Springfield,Illinois,"114,230","116,250",39.7911°N 89.6446°W
257,Meridian,Idaho,"114,161","75,092",43.6142°N 116.3989°W
258,Westminster,Colorado,"113,166","106,114",39.8822°N 105.0644°W
259,Costa Mesa,California,"113,003","109,960",33.6659°N 117.9123°W
260,High Point,North Carolina,"112,791","104,371",35.9900°N 79.9905°W
261,Manchester,New Hampshire,"112,673","109,565",42.9849°N 71.4441°W
262,Pueblo,Colorado,"112,361","106,595",38.2699°N 104.6123°W
263,Lakeland,Florida,"112,136","97,422",28.0555°N 81.9549°W
264,Pompano Beach,Florida,"112,118","99,845",26.2416°N 80.1339°W
265,West Palm Beach,Florida,"111,955","99,919",26.7464°N 80.1251°W
266,Antioch,California,"111,502","102,372",37.9791°N 121.7962°W
267,Everett,Washington,"111,475","103,019",47.9566°N 122.1914°W
268,Downey,California,"111,126","111,772",33.9382°N 118.1309°W
269,Lowell,Massachusetts,"110,997","106,519",42.6390°N 71.3211°W
270,Centennial,Colorado,"110,937","100,377",39.5906°N 104.8691°W
271,Elgin,Illinois,"110,849","108,188",42.0396°N 88.3217°W
272,Richmond,California,"110,567","103,701",37.9523°N 122.3606°W
273,Peoria,Illinois,"110,417","115,007",40.7515°N 89.6174°W
274,Broken Arrow,Oklahoma,"110,198","98,850",36.0365°N 95.7810°W
275,Miami Gardens,Florida,"110,001","107,167",25.9489°N 80.2436°W
276,Billings,Montana,"109,577","104,170",45.7885°N 108.5499°W
277,Jurupa Valley,California,"109,527",0,34.0026°N 117.4676°W
278,Sandy Springs,Georgia,"109,452","93,853",33.9315°N 84.3687°W
279,Gresham,Oregon,"109,381","105,594",45.5023°N 122.4416°W
280,Lewisville,Texas,"109,212","95,290",33.0466°N 96.9818°W
281,Hillsboro,Oregon,"109,128","91,611",45.5280°N 122.9357°W
282,Ventura,California,"109,106","106,433",34.2678°N 119.2542°W
283,Greeley,Colorado,"108,649","92,889",40.4153°N 104.7697°W
284,Inglewood,California,"108,151","109,673",33.9561°N 118.3443°W
285,Waterbury,Connecticut,"107,568","110,366",41.5585°N 73.0367°W
286,League City,Texas,"107,536","83,560",29.4901°N 95.1091°W
287,Santa Maria,California,"107,263","99,553",34.9332°N 120.4438°W
288,Tyler,Texas,"106,985","96,900",32.3173°N 95.3059°W
289,Davie,Florida,"106,306","91,992",26.0791°N 80.2850°W
290,Lakewood,New Jersey,"106,300","92,843",40.0771°N 74.2004°W
291,Daly City,California,"106,280","101,123",37.7009°N 122.4650°W
292,Boulder,Colorado,"105,673","97,385",40.0270°N 105.2519°W
293,Allen,Texas,"105,623","84,246",33.0997°N 96.6631°W
294,West Covina,California,"105,101","106,098",34.0559°N 117.9099°W
295,Sparks,Nevada,"105,006","90,264",39.5544°N 119.7356°W
296,Wichita Falls,Texas,"104,683","104,553",33.9067°N 98.5259°W
297,Green Bay,Wisconsin,"104,578","104,057",44.5207°N 87.9842°W
298,San Mateo,California,"104,430","97,207",37.5603°N 122.3106°W
299,Norwalk,California,"103,949","105,549",33.9076°N 118.0835°W
300,Rialto,California,"103,526","99,171",34.1118°N 117.3883°W
301,Las Cruces,New Mexico,"103,432","97,618",32.3264°N 106.7897°W
302,Chico,California,"103,301","86,187",39.7400°N 121.8356°W
303,El Cajon,California,"102,708","99,478",32.8017°N 116.9604°W
304,Burbank,California,"102,511","103,340",34.1901°N 118.3264°W
305,South Bend,Indiana,"102,026","101,168",41.6769°N 86.2690°W
306,Renton,Washington,"101,751","90,927",47.4761°N 122.1920°W
307,Vista,California,"101,638","93,834",33.1895°N 117.2386°W
308,Davenport,Iowa,"101,590","99,685",41.5541°N 90.6040°W
309,Edinburg,Texas,"101,170","77,100",26.3042°N 98.1639°W
310,Tuscaloosa,Alabama,"101,129","90,468",33.2065°N 87.5346°W
311,Carmel,Indiana,"101,068","79,191",39.9667°N 86.1000°W
312,Spokane Valley,Washington,"101,060","89,755",47.6733°N 117.2394°W
313,San Angelo,Texas,"101,004","93,200",31.4411°N 100.4505°W
314,Vacaville,California,"100,670","92,428",38.3539°N 121.9728°W
315,Clinton,Michigan,"100,471","96,796",42.5903°N 82.9170°W
316,Bend,Oregon,"100,421","76,639",44.0500°N 121.3000°W
317,Woodbridge,New Jersey,"100,145","99,585",40.5607°N 74.2927°W
